"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name","Cocoa
Percent","Company
Location",Rating,"Broad Bean
Origin"
Chocolate Con Amor,Nicaragua,80%,U.S.A.,2.75,Nicaragua
Chocolate Conspiracy,Peru,74%,U.S.A.,2.75,Peru
Chocolate Makers,Tres Hombres,75%,Amsterdam,3.25,Dominican Republic
Chocolate Makers,"Congo, Gorilla bar",68%,Amsterdam,3.5,Congo
Chocolate Makers,"Peru, Awagum bar",80%,Amsterdam,3.75,Peru
"Chocolate Tree, The",Maranon,69%,Scotland,3.75,Peru
"Chocolate Tree, The",Carenero Superior,80%,Scotland,3.75,Venezuela
"Chocolate Tree, The",Peru,70%,Scotland,3.75,Peru
"Chocolate Tree, The",Ecuador,82%,Scotland,2.5,Ecuador
"Chocolate Tree, The",Peru,68%,Scotland,2.75,Peru
"Chocolate Tree, The",Madagascar,72%,Scotland,3.25,Madagascar
Chocolats Privilege,Xoconusco,70%,Canada,2.5,Mexico
ChocoReko,Patanemo,77%,Japan,3.0,Venezuela
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",65%,Canada,3.25,Mexico
Chocovic,Xoconusco,71%,Spain,3.25,Mexico
Chocovic,Sambirano,71%,Spain,3.5,Madagascar
Chocovic,Kendari,60%,Spain,3.25, 
Chocovic,Tarakan,75%,Spain,3.25, 
Chocovic,Ocumare,71%,Spain,3.5,Venezuela
Chocovic,"Bolivar, Guaranda",71%,Spain,2.5,Ecuador
Chocovic,Guyave,71%,Spain,2.5,Grenada
Chocovic,Maragda,70%,Spain,3.0, 
Chocovivo,Tabasco,65%,U.S.A.,2.5,Mexico
Chocovivo,Tabasco,75%,U.S.A.,2.5,Mexico
Choklat,Ocumare,80%,Canada,2.5,Venezuela
Choklat,"Porcelana, Tabasco",70%,Canada,2.75,Mexico
Choklat,Brazilian,70%,Canada,3.0,Brazil
Choklat,Brazilian,80%,Canada,3.0,Brazil
Choklat,Ocumare,70%,Canada,3.0,Venezuela
Chokolat Elot (Girard),Guadeloupe,42%,Martinique,2.75,Martinique
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",75%,Canada,3.25,Mexico
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",68%,Canada,3.75,Peru
Chuao Chocolatier,Choroni,61%,U.S.A.,3.0,Venezuela
Chuao Chocolatier (Pralus),Chuao,77%,U.S.A.,2.75,Venezuela
Claudio Corallo,Terreiro Velho P.,73.5%,Sao Tome,3.75,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,80%,Sao Tome,3.0,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P.,75%,Sao Tome,4.0,Sao Tome & Principe
Claudio Corallo,Principe,100%,Sao Tome,1.0,Sao Tome & Principe
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",73%,U.S.A.,3.5,Ecuador
Coleman & Davis,Sambirano,75%,U.S.A.,3.0,Madagascar
Compania de Chocolate (Salgado),Sur del Lago,70%,Argentina,3.25,Venezuela
Compania de Chocolate (Salgado),Carenero Superior,80%,Argentina,2.75,Venezuela
Compania de Chocolate (Salgado),Moxos,72%,Argentina,3.25,Bolivia
Compania de Chocolate (Salgado),Ocumare,70%,Argentina,3.75,Venezuela
Compania de Chocolate (Salgado),Esmeraldas,88%,Argentina,2.75,Ecuador
Condor,Camino Verde,76%,U.S.A.,3.5,Ecuador
Confluence,"Tien Giang, 2015, batch 10-2-16",78%,U.S.A.,2.75,Vietnam
Coppeneur,"Ecuador, Puristique",65%,Germany,3.25,Ecuador
Coppeneur,Ghana Puristique,85%,Germany,3.5,Ghana
Coppeneur,Ecuador Puristique,100%,Germany,1.5,Ecuador
Coppeneur,Uba Budo,72%,Germany,3.75,Sao Tome & Principe
Coppeneur,Madagascar,70%,Germany,3.5,Madagascar
Coppeneur,Grenada,72%,Germany,3.25,Grenada
Coppeneur,Chuao,70%,Germany,3.0,Venezuela
Coppeneur,"Los Rios, H. Iara",72%,Germany,2.5,Ecuador
Coppeneur,Trinidad,72%,Germany,3.0,Trinidad
Coppeneur,Jamaica,72%,Germany,3.25,Jamaica
Coppeneur,Ocumare 61,72%,Germany,3.25,Venezuela
Coppeneur,"Porcelana, Apotequil",72%,Germany,3.0,Peru
Coppeneur,"Porcelana, Apotequil",62%,Germany,3.25,Peru
Coppeneur,Chuao 100hr,70%,Germany,3.5,Venezuela
Coppeneur,Chuao 70hr,70%,Germany,3.75,Venezuela
Coppeneur,"Porcelana, Tabasco, Mexico",72%,Germany,3.0,Mexico
Coppeneur,"Porcelana, Venezuela",72%,Germany,3.0,Venezuela
Coppeneur,"Sambirano, Menava P.",72%,Germany,3.0,Madagascar
Cote d' Or (Kraft),Sensations Intense,70%,Belgium,1.0, 
Cravve,New Ireland,70%,Australia,2.5,Papua New Guinea
Cravve,"Vanuatu, batch 2410",83%,Australia,2.75,Vanuatu
Cravve,"Tanzania, batch a1",75%,Australia,3.25,Tanzania
Cravve,"Bahia, batch a1213",65%,Australia,3.25,Brazil
Cravve,"Namau Village, N. Taileva P., batch a2812",67%,Australia,3.25,Fiji
Cravve,Vanuatu,64%,Australia,3.25,Vanuatu
Cravve,Djual Island,75%,Australia,3.5,Papua New Guinea
Creo,"""heirloom"", Arriba Nacional",85%,U.S.A.,3.25,Ecuador
Creo,"""heirloom"", Arriba Nacional",73%,U.S.A.,3.75,Ecuador
Daintree,Goodman Estate,70%,Australia,2.75,Australia
Daintree,"Daintree Estates, N. Queensland",70%,Australia,3.25,Australia
Dalloway,"Dominican Republic, batch 7",72%,U.S.A.,2.75,Dominican Republic
Damson,Robson Estate,70%,U.K.,3.0,Trinidad
Damson,Los Rios,70%,U.K.,3.5,Ecuador
Damson,Crayfish Bay aka Non Pariel Estate,70%,U.K.,2.25,Grenada
Damson,O'Payo,70%,U.K.,2.75,Nicaragua
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",70%,U.S.A.,3.75, 
Dandelion,"Maya Mtn., Break Bar- Snark",70%,U.S.A.,3.0,Belize
Dandelion,Maya Mountain,70%,U.S.A.,3.5,Belize
Dandelion,"Camino Verde P., Balao, Guayas, 2013",70%,U.S.A.,3.5,Ecuador
Dandelion,Buto,70%,U.S.A.,2.75,Liberia
Dandelion,"San Francisco de Macoris, Cibao region",70%,U.S.A.,3.75,Dominican Republic
Dandelion,"Cumboto, farmer Jose Lugo",70%,U.S.A.,2.75,Venezuela
Dandelion,Patanemo,70%,U.S.A.,3.25,Venezuela
Dandelion,"Mantuano, 2012",70%,U.S.A.,3.5,Venezuela
Dandelion,Papua New Guinea,70%,U.S.A.,3.5,Papua New Guinea
Dandelion,Upala,70%,U.S.A.,3.0,Costa Rica
Dandelion,Colombian,70%,U.S.A.,3.25,Colombia
Dandelion,"Elvesia, 2011",70%,U.S.A.,3.75,Dominican Republic
Dandelion,Dominican Republic,70%,U.S.A.,3.25,Dominican Republic
Dandelion,Madagascar,70%,U.S.A.,3.25,Madagascar
Dandelion,Tanzania,70%,U.S.A.,3.25,Tanzania
Danta,Los Ujuxtes,82%,Guatemala,3.25,Guatemala
Danta,Chuao,75%,Guatemala,3.0,Venezuela
Danta,Los Ujuxtes,70%,Guatemala,3.75,Guatemala
Danta,Sambirano,70%,Guatemala,3.75,Madagascar
Danta,Las Acacias E.,70%,Guatemala,4.0,Guatemala
Danta,"Oscuro, Finca Chimelb",70%,Guatemala,3.25,Guatemala
Danta,Los Ujuxtes,60%,Guatemala,3.5,Guatemala
Danta,Las Acacias E.,75%,Guatemala,3.0,Guatemala
Danta,Las Acacias E.,60%,Guatemala,3.25,Guatemala
DAR,"Venezuela, batch 122",72%,U.S.A.,2.75,Venezuela
DAR,Vietnam,72%,U.S.A.,3.0,Vietnam
DAR,"DUO, batch 002",70%,U.S.A.,3.25,"Ecuador, Costa Rica"
Dark Forest,Bolivia,75%,U.S.A.,3.25,Bolivia
Dark Forest,Madagascar,70%,U.S.A.,3.0,Madagascar
Dark Forest,Ocumare,70%,U.S.A.,3.25,Venezuela
Dark Forest,Tanzania,70%,U.S.A.,3.0,Tanzania
Dark Forest,Ecuador,70%,U.S.A.,3.25,Ecuador
Davis,Ghana,70%,U.S.A.,2.5,Ghana
Davis,Rainforest,70%,U.S.A.,2.75,Dominican Republic
Davis,Venezuela,70%,U.S.A.,2.75,Venezuela
Davis,West Africa,58%,U.S.A.,3.25,West Africa
De Mendes,"Nativo, Varzea",72%,Brazil,3.5,Brazil
De Mendes,"Selvagem, Jari",65%,Brazil,3.5,Brazil
De Villiers,Bundibugyo District,70%,South Africa,2.5,Uganda
De Villiers,"Sambirano Valley, batch 2477",70%,South Africa,3.0,Madagascar
Dean and Deluca (Belcolade),Madagascar,66%,U.S.A.,2.5,Madagascar
Dean and Deluca (Belcolade),Costa Rica,64%,U.S.A.,3.0,Costa Rica
Dean and Deluca (Belcolade),Ecuador,71%,U.S.A.,3.0,Ecuador
Dean and Deluca (Belcolade),Ghana,60%,U.S.A.,3.0,Ghana
Dean and Deluca (Belcolade),Papua New Guinea,64%,U.S.A.,3.0,Papua New Guinea
Dean and Deluca (Belcolade),Peru,64%,U.S.A.,3.0,Peru
Debauve & Gallais (Michel Cluizel),Papua New Guinea,64%,France,3.0,Papua New Guinea
Debauve & Gallais (Michel Cluizel),Venezuela,66%,France,3.75,Venezuela
Desbarres,"Kilombero, batch 41",72%,Canada,2.5,Tanzania
DeVries,Bolivian,80%,U.S.A.,2.75,Bolivia
DeVries,Costa Rica,77%,U.S.A.,3.5,Costa Rica
DeVries,Dominican Republic,77%,U.S.A.,3.5,Dominican Republic
Dick Taylor,Lanquin Estate,70%,U.S.A.,3.75,Guatemala
Dick Taylor,Tien Giang,78%,U.S.A.,3.5,Vietnam
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",70%,U.S.A.,3.75,Bolivia
Dick Taylor,Elvesia,74%,U.S.A.,3.5,Dominican Republic
Dick Taylor,"Ecuador, Choc. Garage Exclusive",70%,U.S.A.,3.25,Ecuador
Dick Taylor,Camino Verde,76%,U.S.A.,3.5,Ecuador
Dick Taylor,Bolivia,75%,U.S.A.,2.75,Bolivia
Dick Taylor,Belize,72%,U.S.A.,2.75,Belize
Dick Taylor,Sambirano,80%,U.S.A.,2.75,Madagascar
Dick Taylor,Sambirano,72%,U.S.A.,3.0,Madagascar
Dick Taylor,Mantuano,75%,U.S.A.,2.75,Venezuela
Dick Taylor,La Red,74%,U.S.A.,3.0,Dominican Republic
Dick Taylor,Ecuador,70%,U.S.A.,3.25,Ecuador
Doble & Bignall,Puerto Cabello,85%,U.K.,3.0,Venezuela
Doble & Bignall,"Panama, Raven",72%,U.K.,3.25,Panama
Doble & Bignall,"Puerto Cabello, Mantuano",72%,U.K.,3.25,Venezuela
Doble & Bignall,Johe,72%,U.K.,3.5,Nicaragua
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",70%,U.S.A.,3.75,Hawaii
Dolfin (Belcolade),Africa,88%,Belgium,3.0,West Africa
Dolfin (Belcolade),Noir,70%,Belgium,1.5, 
Domori,Hacienda Victoria,70%,Italy,3.75,Ecuador
Domori,Ocumare 77,70%,Italy,3.75,Venezuela
Domori,"IL100, H. San Jose",100%,Italy,3.0,Venezuela
Domori,Morogoro,70%,Italy,3.5,Tanzania
Domori,Guasare,70%,Italy,3.75,Venezuela
Domori,"Canoabo, Hacienda San Jose",70%,Italy,3.5,Venezuela
Domori,"Chuao, Hacienda San Jose",70%,Italy,3.0,Venezuela
Domori,"Carupano, H. San Jose",70%,Italy,3.0,Venezuela
Domori,Teyuna,70%,Italy,3.0,Colombia
Domori,Blend No. 1,78%,Italy,3.5, 
Domori,Ilblend,70%,Italy,3.75, 
Domori,Porcelana,70%,Italy,4.0,Venezuela
Domori,"Ocumare 61, Puertomar",75%,Italy,3.25,Venezuela
Domori,Granella,60%,Italy,3.25,Venezuela
Domori,Madagascar,70%,Italy,3.5,Madagascar
Domori,Madagared,70%,Italy,3.5,Madagascar
Domori,"Java, Javablond",70%,Italy,3.75,Indonesia
Domori,Ecuador,70%,Italy,4.0,Ecuador
Domori,"Ocumare 67, Puertofino",70%,Italy,4.0,Venezuela
Domori,Sur del Lago Classificado,70%,Italy,3.0,Venezuela
Domori,Apurimac,70%,Italy,3.25,Peru
Domori,Carenero Superior,70%,Italy,3.5,Venezuela
Dormouse,Non Pariel Estate,75%,U.K.,2.75,Grenada
Dormouse,"Rio Caribe, Batch 7",70%,U.K.,2.5,Venezuela
Dormouse,"Colombia, Batch 9",80%,U.K.,2.75,Colombia
Dormouse,"Madagascar, Batch 8",77%,U.K.,2.75,Madagascar
Duffy's,"Rio Dulce, Xoco",70%,U.K.,4.0,Guatemala
Duffy's,"Chuno, Xoco",70%,U.K.,3.5,Nicaragua
Duffy's,"Rico Rugoso, Xoco",76%,U.K.,3.75,Nicaragua
Duffy's,Ocumare,72%,U.K.,3.75,Venezuela
Duffy's,"Indio Rojo, Xoco",72%,U.K.,3.75,Honduras
Duffy's,Dominican Republic,65%,U.K.,3.5,Dominican Republic
Duffy's,"Bocas del Toro, Tierra Oscura",72%,U.K.,3.0,Panama
Duffy's,"Nicaliso, Xoco",71%,U.K.,3.25,Nicaragua
Duffy's,Ocumare,71%,U.K.,3.5,Venezuela
Duffy's,Panama,70%,U.K.,3.5,Panama
Duffy's,"Corazon del Ecuador, Calceta beans",72%,U.K.,3.75,Ecuador
Duffy's,Star of Ecuador,70%,U.K.,2.5,Ecuador
Duffy's,Star of Peru,70%,U.K.,3.75,Peru
Dulcinea,Dominican Republic,70%,U.S.A.,3.25,Dominican Republic
Durand,Madagascar,82%,France,2.75,Madagascar
Durci,"Maranon, Joya Rara",70%,U.S.A.,3.5,Peru
Durci,"Rio Caribe, Tepui Treasure",70%,U.S.A.,3.5,Venezuela
Durci,Taino Secret,70%,U.S.A.,3.25,Domincan Republic
Durci,"Carenero, Empyrean Sabor",70%,U.S.A.,3.25,Venezuela
Durci,Corona Arriba,70%,U.S.A.,4.0,Ecuador
East Van Roasters,Peru,70%,Canada,3.25,Peru
East Van Roasters,Madagascar,70%,Canada,3.5,Madagascar
East Van Roasters,Dominican Republic,70%,Canada,3.75,Dominican Republic
Eau de Rose,Tumaco,70%,Canada,3.25,Colombia
Eau de Rose,Arauca,70%,Canada,3.25,Colombia
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",72%,U.S.A.,2.75,Peru
Edelmond,Porcelana,68%,Germany,3.0,Venezuela
El Ceibo,"Alto Beni, Covendo Region",75%,Bolivia,3.75,Bolivia
El Ceibo,Alto Beni,71%,Bolivia,2.75,Bolivia
El Rey,San Joaquin,70%,Venezuela,3.75,Venezuela
El Rey,"Rio Caribe, Cariaco",60.5%,Venezuela,2.75,Venezuela
El Rey,"Rio Caribe, Macuro",70%,Venezuela,3.0,Venezuela
El Rey,"Carenero Superior, Apamate",74%,Venezuela,2.5,Venezuela
El Rey,"Carenero Superior, Bucare",58%,Venezuela,2.5,Venezuela
El Rey,"Carenero Superior, Mijao",61%,Venezuela,3.0,Venezuela
El Rey,"Carenero Superior, Gran Saman",70%,Venezuela,2.75,Venezuela
Emerald Estate,Emerald Estate,60%,St. Lucia,2.75,St. Lucia
Emerald Estate,Emerald Estate,70%,St. Lucia,3.25,St. Lucia
Emily's,Patanemo,79%,Japan,3.0,Venezuela
Emily's,Peru,78%,Japan,3.5,Peru
ENNA,"Wampusirpi, batch 007",75%,U.S.A.,3.25,Honduras
Enric Rovira (Claudio Corallo),Terreiro Velho P.,80%,Spain,3.25,Sao Tome & Principe
Erithaj (A. Morin),Ben Tre,70%,France,3.25,Vietnam
Erithaj (A. Morin),Ham Luong,80%,France,3.0,Vietnam
Erithaj (A. Morin),Ba Lai,74%,France,3.25,Vietnam
Escazu,Rio Caribe,70%,U.S.A.,2.75,Venezuela
Escazu,Guapiles,65%,U.S.A.,2.0,Costa Rica
Escazu,Carenero Superior,81%,U.S.A.,3.5,Venezuela
Escazu,"Carenero, Guapiles, Ocumare blend",74%,U.S.A.,2.75,"Cost Rica, Ven"
Escazu,Ocumare,72%,U.S.A.,3.0,Venezuela
Ethel's Artisan (Mars),"Peru, Madagascar",55%,U.S.A.,2.5,"Peru, Madagascar"
Ethel's Artisan (Mars),Trinidad,55%,U.S.A.,2.5,Trinidad
Ethel's Artisan (Mars),Porcelana,70%,U.S.A.,2.5,Venezuela
Ethel's Artisan (Mars),Red Vanilla,62%,U.S.A.,2.75, 
Ethel's Artisan (Mars),"Venezuela, Trinidad",62%,U.S.A.,2.5,"Venezuela, Trinidad"
Ethereal,Belize,80%,U.S.A.,3.0,Belize
Ethereal,Ecuador,80%,U.S.A.,3.5,Ecuador
Ethereal,Dominican Republic,80%,U.S.A.,3.75,Dominican Republic
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",75%,U.S.A.,2.75,Brazil
Feitoria Cacao,Blue Mountain,76%,Portugal,3.0,Jamaica
Feitoria Cacao,Cuyagua,76%,Portugal,2.5,Venezuela
Feitoria Cacao,Maya Mountain,76%,Portugal,2.75,Belize
Felchlin,Grenada,58%,Switzerland,3.5,Grenada
Felchlin,Supremo- SF,62%,Switzerland,2.0, 
Felchlin,Elvesia P.,74%,Switzerland,3.0,Dominican Republic
Felchlin,"Madagascar, Grand Cru",64%,Switzerland,3.0,Madagascar
Felchlin,Maracaibo Clasificado,65%,Switzerland,3.0,Venezuela
Felchlin,Arriba,72%,Switzerland,3.5,Ecuador
Felchlin,"Alto Beni, Cru Savage",68%,Switzerland,4.0,Bolivia
Finca,Puerto Rico,65%,U.S.A.,2.25,Puerto Rico
Finca,Dominican Republic,80%,U.S.A.,3.0,Dominican Republic
Finca,Dominican Republic,70%,U.S.A.,3.25,Dominican Republic
Finca,Dominican Republic,85%,U.S.A.,2.5,Dominican Republic
Forever Cacao,Rio Eni,72%,U.K.,2.75,Peru
Forteza (Cortes),Dominican Republic,70%,Puerto Rico,2.75,Domincan Republic
Forteza (Cortes),Puerto Rico,80%,Puerto Rico,2.75,Domincan Republic
Fossa,"Akesson's E., Sambirano V.",70%,Singapore,2.75,Madagascar
Fossa,"Camino Verde P., Balao, Guayas",75%,Singapore,3.5,Ecuador
Fossa,"Kokoa Kamili Coop, Kilombero",67%,Singapore,3.75,Tanzania
Franceschi,Choroni,70%,Venezuela,3.5,Venezuela
Franceschi,Ocumare,70%,Venezuela,3.75,Venezuela
Franceschi,Canoabo,70%,Venezuela,3.75,Venezuela
Franceschi,Sur del Lago,60%,Venezuela,3.5,Venezuela
Frederic Blondeel,Costa Rica,70%,Belgium,3.5,Costa Rica
Frederic Blondeel,Peru Brutus,75%,Belgium,3.5,Peru
Frederic Blondeel,Vietnam,80%,Belgium,3.0,Vietnam
Frederic Blondeel,Ghana,60%,Belgium,3.5,Ghana
Frederic Blondeel,Madagascar,65%,Belgium,3.5,Madagascar
French Broad,"Norandino, batch 161208",70%,U.S.A.,3.5,Peru
French Broad,Guatemala,73%,U.S.A.,3.5,Guatemala
French Broad,San Andres,80%,U.S.A.,3.0,Costa Rica
French Broad,Matagalpa,68%,U.S.A.,3.25,Nicaragua
French Broad,"Palo Blanco, Chulucanas",66%,U.S.A.,3.5,Peru
French Broad,Tumbes Coop,70%,U.S.A.,2.5,Peru
French Broad,"Palo Blanco, Chulucanas",61%,U.S.A.,3.5,Peru
French Broad,"Palo Blanco w/ panela, Chulucanas",81%,U.S.A.,2.0,Peru
French Broad,"Maranon Canyon, Fortunato No. 4",70%,U.S.A.,3.5,Peru
French Broad,La Red,65%,U.S.A.,3.5,Dominican Republic
Fresco,"Maranon, #228, MR, SC",70%,U.S.A.,3.0,Peru
Fresco,"Maranon, #227, LR, MC",70%,U.S.A.,3.5,Peru
Fresco,"Maranon, #229, MR, LC",70%,U.S.A.,3.5,Peru
Fresco,"Maranon, #230, DR, LC",70%,U.S.A.,3.5,Peru
Fresco,"Conacado, #223, MR, SC",72%,U.S.A.,3.25,Dominican Republic
Fresco,"Conacado, #224, MR, MC",72%,U.S.A.,3.75,Dominican Republic
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",70%,U.S.A.,3.75,Peru
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",70%,U.S.A.,4.0,Peru
Fresco,"Markham Valley, #219, LR, MC",69%,U.S.A.,3.5,Papua New Guinea
Fresco,"Markham Valley, #221, DR, MC",69%,U.S.A.,3.5,Papua New Guinea
Fresco,"Sambirano Valley, #216, MR, LC",74%,U.S.A.,4.0,Madagascar
Fresco,"Markham Valley, #220, MR, MC",69%,U.S.A.,4.0,Papua New Guinea
Fresco,"Markham Valley, #222, LR, 0C",69%,U.S.A.,3.0,Papua New Guinea
Fresco,"Ghana, #211, MR, MC",74%,U.S.A.,2.75,Ghana
Fresco,"Jamaica, #209, DR, SC",70%,U.S.A.,3.25,Jamaica
Fresco,"Conacado, #212, LR, SC",72%,U.S.A.,3.5,Dominican Republic
Fresco,"Jamaica, #210, DR, MC",70%,U.S.A.,3.5,Jamaica
Fresco,"Sambirano Valley, #214, LR, MC",74%,U.S.A.,2.75,Madagascar
Fresco,"Conacado, #213, DR, -C",72%,U.S.A.,3.25,Dominican Republic
Fresco,"Sambirano Valley, #215, MR, MC",74%,U.S.A.,3.0,Madagascar
Fresco,"Chuao, #218, MR, MC",76%,U.S.A.,3.25,Venezuela
Fresco,"Chuao, #217, DR, MC",70%,U.S.A.,4.0,Venezuela
Fresco,"Jamaica, #204, DR, SC",80%,U.S.A.,2.75,Jamaica
Fresco,"Jamaica, #206, DR, LC",70%,U.S.A.,3.0,Jamaica
Fresco,"Jamaica, #205, DR, MC",70%,U.S.A.,3.25,Jamaica
Fresco,"Carenero Superior, #203, MR, SC",65%,U.S.A.,3.5,Venezuela
Friis Holm,"Rugoso, Bad Fermentation",70%,Denmark,3.5,Nicaragua
Friis Holm (Bonnat),La Dalia,60%,Denmark,3.0,Nicaragua
Friis Holm (Bonnat),La Dalia,85%,Denmark,3.25,Nicaragua
Friis Holm (Bonnat),La Dalia,70%,Denmark,3.5,Nicaragua
Friis Holm (Bonnat),"Barba, Xoco",70%,Denmark,3.25,Nicaragua
Friis Holm (Bonnat),"Medagla, Xoco",70%,Denmark,3.5,Nicaragua
Friis Holm (Bonnat),"Chuno, triple turned, Xoco",70%,Denmark,3.25,Nicaragua
Friis Holm (Bonnat),"Red Mayan, Xoco",70%,Denmark,3.25,Honduras
Friis Holm (Bonnat),"Chuno, double turned, Xoco",70%,Denmark,3.25,Nicaragua
Friis Holm (Bonnat),"Rugoso, Xoco",70%,Denmark,3.75,Nicaragua
Friis Holm (Bonnat),"Johe, Xoco",70%,Denmark,3.25,Nicaragua
Friis Holm (Bonnat),"Chuno, Xoco",70%,Denmark,3.5,Nicaragua
Friis Holm (Bonnat),"Nicaliso, Xoco",70%,Denmark,3.5,Nicaragua
Fruition,"Wild Bolivian, Batch 2",74%,U.S.A.,3.75,Bolivia
Fruition,"Coto Brus, Heirloom, Batch 1",74%,U.S.A.,4.0,Costa Rica
Fruition,Gran Couva,70%,U.S.A.,3.75,Trinidad
Fruition,Maranon,76%,U.S.A.,3.0,Peru
Fruition,La Red,70%,U.S.A.,3.75,Dominican Republic
Fruition,Camino Verde,75%,U.S.A.,3.0,Ecuador
Fruition,Peru,70%,U.S.A.,2.5,Peru
Fruition,Signature Blend,66%,U.S.A.,3.25,Costa Rica
Fruition,Costa Rica,70%,U.S.A.,3.0,Costa Rica
Garden Island,"Kaua'I, Alea Estate +world",85%,U.S.A.,2.5,Hawaii
Georgia Ramon,Akesson P.,65%,Germany,3.25,Madagascar
Georgia Ramon,ABOCFA Coop,70%,Germany,4.0,Ghana
Georgia Ramon,Conacado Coop,70%,Germany,3.5,Domincan Republic
Georgia Ramon,Conacado Coop,80%,Germany,3.5,Domincan Republic
Georgia Ramon,Akesson P.,75%,Germany,3.5,Madagascar
Glennmade,"Toledo District, 2015 Harvest",70%,U.S.A.,3.5,Belize
Glennmade,Bahia,66%,U.S.A.,3.0,Brazil
Goodnow Farms,"Almendra Blanca, batch 1004",77%,U.S.A.,2.75,Mexico
Goodnow Farms,"El Carmen, batch 1003",77%,U.S.A.,3.25,Nicaragua
Goodnow Farms,"Asochivite, batch 1005",77%,U.S.A.,3.25,Guatemala
Grand Place,"Ben Tre, Dong Nai",72%,Vietnam,3.0,Vietnam
Green & Black's (ICAM),Dark,70%,U.K.,2.5, 
Green Bean to Bar,Madagascar,70%,Japan,3.5,Madagascar
Grenada Chocolate Co.,Grenada,82%,Grenada,3.25,Grenada
Grenada Chocolate Co.,Grenada,60%,Grenada,2.75,Grenada
Grenada Chocolate Co.,Grenada,71%,Grenada,2.5,Grenada
Guido Castagna,Arriba,64%,Italy,3.0,Ecuador
Guido Castagna,Ghana,64%,Italy,3.0,Ghana
Guido Castagna,Trinidad & Tobago,64%,Italy,3.0,"Trinidad, Tobago"
Guido Castagna,Lacri Blend,76%,Italy,3.0,Venezuela
Guido Castagna,Blend,64%,Italy,3.25,"Ven, Trinidad, Ecuador"
Guittard,"Epique, Blend No. 49",70%,U.S.A.,3.75, 
Guittard,Haiti,65%,U.S.A.,2.75,Haiti
Guittard,Nicaragua,65%,U.S.A.,2.75,Nicaragua
Guittard,Jamaica,65%,U.S.A.,3.25,Jamaica
Guittard,Ecuador,65%,U.S.A.,3.5,Ecuador
Guittard,Coucher du Soleil,72%,U.S.A.,2.75, 
Guittard,Lever du Soleil,61%,U.S.A.,3.25, 
Guittard,Onyx,72%,U.S.A.,3.25, 
Guittard,Trinidad,65%,U.S.A.,3.0,Trinidad
Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",55%,U.S.A.,3.0,Hawaii
Guittard,Nocturne,91%,U.S.A.,3.0, 
Guittard,Complexite,70%,U.S.A.,3.5, 
Guittard,Machu Pichu,65%,U.S.A.,3.0,Peru
Guittard,Special Maker Reserve,64%,U.S.A.,3.0, 
Guittard,Ocumare,65%,U.S.A.,3.5,Venezuela
Guittard,Quetzalcoatl,72%,U.S.A.,3.5, 
Guittard,Chucuri,65%,U.S.A.,3.0,Colombia
Guittard,Sur del Lago,65%,U.S.A.,2.5,Venezuela
Guittard,"Sambirano, Ambanja",65%,U.S.A.,3.5,Madagascar
Guittard,"Los Rios, Quevedo",65%,U.S.A.,3.5,Ecuador
Guittard,Tsaranta,61%,U.S.A.,3.5, 
Guittard,Semisweet,61%,U.S.A.,3.0, 
Habitual,Papua New Guinea,80%,Canada,2.75,Papua New Guinea
Habitual,Campesino w/ nibs,74%,Canada,2.75, 
Habitual,Dominican Republic,75%,Canada,3.25,Dominican Republic
Habitual,Trinitario,70%,Canada,3.5, 
Habitual,Downtown London,65%,Canada,2.75, 
Habitual,Africa meets Latina,70%,Canada,3.0, 
Habitual,Amazonas,80%,Canada,3.0, 
Habitual,Sharkey,66%,Canada,3.25,Hawaii
Habitual,one hundred,100%,Canada,2.0, 
Hachez,Arriba,77%,Germany,2.5,Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,55%,Ecuador,2.75,Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,70%,Ecuador,3.0,Ecuador
Haigh,South America and Africa,70%,Australia,3.0,"South America, Africa"
Harper Macaw,"Vale do Juliana, w/ nibs",85%,U.S.A.,3.25,Brazil
Harper Macaw,Brazil Blend,67%,U.S.A.,3.0,Brazil
Harper Macaw,"Tome Acu E., Amazon Rainforest",77%,U.S.A.,3.5,Brazil
Harper Macaw,"Vale do Juliana E., Atlantic Forest",74%,U.S.A.,3.5,Brazil
Heilemann,Peru,64%,Germany,2.75,Peru
Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",70%,U.S.A.,3.25,Belize
